index	country	country_code	1950-1955	1955-1960	1960-1965	1965-1970	1970-1975	1975-1980	1980-1985	1985-1990	1990-1995	1995-2000	2000-2005	2005-2010	2010-2015	2015-2020	2020-2025	2025-2030	2030-2035	2035-2040	2040-2045	2045-2050	2050-2055	2055-2060	2060-2065	2065-2070	2070-2075	2075-2080	2080-2085	2085-2090	2090-2095	2095-2100	last.observed
168	Swaziland	748	6.7	6.7	6.75	6.849	6.866	6.733	6.537	6.132	5.295	4.491	4.01	3.75	3.3635	3.0596	2.8211	2.63	2.4691	2.3317	2.2174	2.1204	2.0392	1.9771	1.9268	1.8912	1.8654	1.8461	1.8353	1.8298	1.8258	1.8277	2013
169	Sweden	752	2.2372	2.247	2.3103	2.1701	1.9058	1.6646	1.6434	1.9087	2.006	1.5589	1.6703	1.8905	1.92	1.9388	1.9528	1.9629	1.9717	1.9759	1.9807	1.9837	1.9873	1.9891	1.991	1.9921	1.9931	1.9964	1.9958	1.9953	1.9969	1.9978	2013
170	Switzerland	756	2.3101	2.3912	2.5972	2.3551	1.8714	1.5388	1.5367	1.5453	1.5371	1.4833	1.4079	1.4706	1.5214	1.577	1.6182	1.6555	1.6859	1.7142	1.7369	1.7571	1.7744	1.7901	1.8016	1.814	1.8238	1.8317	1.8403	1.849	1.8557	1.8598	2013
171	Syrian Arab Republic	760	7.227	7.3755	7.5385	7.5598	7.5426	7.3164	6.767	5.873	4.8041	4.2591	3.672	3.1906	3.0011	2.7495	2.5426	2.3719	2.2267	2.1033	2.0043	1.9239	1.868	1.8251	1.7968	1.7781	1.7732	1.7724	1.7775	1.7854	1.7929	1.801	2013
172	Tajikistan	762	5.995	6.199	6.302	6.719	6.834	5.897	5.543	5.406	4.877	4.29	3.705	3.48	3.55	3.5986	3.3759	3.1845	3.0195	2.8776	2.7492	2.6349	2.5332	2.4387	2.3494	2.271	2.2026	2.1412	2.0905	2.0429	2.0097	1.9809	2013
173	Thailand	764	6.1378	6.1378	6.1297	5.985	5.052	3.915	2.945	2.3	1.9921	1.7668	1.6026	1.4888	1.4078	1.364	1.3823	1.4315	1.4822	1.5302	1.5741	1.6128	1.6476	1.6789	1.7062	1.7294	1.75	1.7685	1.7841	1.7992	1.8103	1.8208	2013
174	Togo	768	6.3344	6.4217	6.6518	6.937	7.1986	7.2768	7.0567	6.6311	6.021	5.482	5.1401	4.8975	4.7212	4.3262	4.0171	3.7456	3.5057	3.2967	3.1191	2.9638	2.8208	2.6952	2.5861	2.4809	2.3848	2.2954	2.2203	2.1489	2.093	2.0441	2013
175	Tonga	776	7.3	7.3	7.3	6.5	5.5	5.5	5.5	4.7363	4.615	4.2912	4.2278	4.0342	3.7886	3.5686	3.3728	3.2049	3.0535	2.9189	2.7964	2.686	2.5861	2.4869	2.4007	2.3176	2.2438	2.1774	2.118	2.0681	2.0293	1.9963	2013
176	Trinidad and Tobago	780	5.3	5.3	5.04	3.81	3.45	3.24	3.28	2.75	2.18	1.82	1.75	1.8	1.7959	1.7901	1.79	1.7896	1.7922	1.7975	1.8027	1.8091	1.816	1.8219	1.8297	1.8353	1.8432	1.8479	1.8544	1.8594	1.8658	1.8707	2013
177	United Arab Emirates	784	6.97	6.97	6.868	6.765	6.355	5.658	5.228	4.825	3.875	2.966	2.3974	1.9684	1.8203	1.7277	1.6575	1.618	1.6031	1.605	1.6193	1.6389	1.6608	1.6815	1.7042	1.7242	1.7421	1.7606	1.7772	1.7904	1.8033	1.814	2013
178	Tunisia	788	6.65	6.85	6.99	6.92	6.385	5.65	4.82	4.0019	2.98	2.3435	2.04	2.0239	2.162	1.9144	1.8367	1.787	1.7592	1.7494	1.7518	1.7558	1.7658	1.7758	1.7873	1.7996	1.8088	1.8197	1.8288	1.8366	1.8435	1.8517	2013
179	Turkey	792	6.6197	6.4316	6.1408	5.7422	5.3397	4.6483	4.0699	3.3538	2.8695	2.5955	2.3311	2.161	2.0533	1.9608	1.8896	1.8348	1.7961	1.7717	1.7593	1.7515	1.7525	1.7578	1.7647	1.7735	1.7846	1.7949	1.8059	1.8156	1.8239	1.8317	2013
